Date,Open,High,Low,Close,Adj Close,Volume
2014-01-01,4160.029785,4160.959961,4103.750000,4153.180176,4153.180176,7977360000
2014-01-08,4154.279785,4183.839844,4097.990234,4183.020020,4183.020020,11059480000
2014-01-15,4196.529785,4227.930176,4187.310059,4225.759766,4225.759766,8292120000
2014-01-22,4234.580078,4246.549805,4052.629883,4097.959961,4097.959961,11197820000
2014-01-29,4060.610107,4135.839844,3989.949951,4031.520020,4031.520020,11491220000
2014-02-05,4015.500000,4198.509766,3968.189941,4191.049805,4191.049805,9972830000
2014-02-12,4196.850098,4277.330078,4170.470215,4272.779785,4272.779785,8053600000
2014-02-19,4260.740234,4311.129883,4226.750000,4287.589844,4287.589844,10386200000
2014-02-26,4300.450195,4357.209961,4239.649902,4351.970215,4351.970215,11330510000
2014-03-05,4352.759766,4371.709961,4295.470215,4307.189941,4307.189941,11117190000
2014-03-12,4288.600098,4339.899902,4241.939941,4333.310059,4333.310059,10485670000
2014-03-19,4331.459961,4344.390137,4190.609863,4234.270020,4234.270020,11791170000
2014-03-26,4254.979980,4268.200195,4131.810059,4268.040039,4268.040039,10999930000
2014-04-02,4281.609863,4286.089844,4052.139893,4112.990234,4112.990234,11629320000
2014-04-09,4129.629883,4185.189941,3946.030029,4034.159912,4034.159912,10946840000
2014-04-16,4066.820068,4170.720215,4038.810059,4161.459961,4161.459961,7238200000
2014-04-23,4160.899902,4177.160156,4014.169922,4103.540039,4103.540039,10272330000
2014-04-30,4085.189941,4149.560059,4070.629883,4080.760010,4080.760010,9485010000
2014-05-07,4085.489990,4155.129883,4021.050049,4130.169922,4130.169922,10677630000
2014-05-14,4122.080078,4132.330078,4035.959961,4096.890137,4096.890137,8987840000
2014-05-21,4105.959961,4237.069824,4103.609863,4237.069824,4237.069824,6888250000
2014-05-28,4234.959961,4252.080078,4207.609863,4234.080078,4234.080078,8752750000
2014-06-04,4222.209961,4346.740234,4216.229980,4338.000000,4338.000000,8723670000
2014-06-11,4322.919922,4346.120117,4284.529785,4337.229980,4337.229980,8930690000
2014-06-18,4341.180176,4399.870117,4320.540039,4350.350098,4350.350098,10155130000
2014-06-25,4341.819824,4471.600098,4339.410156,4458.649902,4458.649902,11032480000
2014-07-02,4457.859863,4485.930176,4372.040039,4391.459961,4391.459961,6514420000
2014-07-09,4403.029785,4451.930176,4351.040039,4416.390137,4416.390137,8282820000
2014-07-16,4446.169922,4464.129883,4352.229980,4456.020020,4456.020020,9220420000
2014-07-23,4468.160156,4485.500000,4413.919922,4442.700195,4442.700195,9430390000
2014-07-30,4468.439941,4476.060059,4324.020020,4352.839844,4352.839844,9789730000
